,function,min,max,mean,std
0,running a chain of 50 iterations,7.679267168045044,7.679267168045044,7.679267168045044,0.0
1,processing districting,4.138166904449463,4.138166904449463,4.138166904449463,0.0
2,saving checkpoint,0.039125919342041016,0.039125919342041016,0.039125919342041016,0.0
